"LOINC_NUM","LONG_COMMON_NAME"
"22544-1","Deprecated Streptococcus pneumoniae 14 Ab [Units/volume] in Serum --1st specimen"
"22545-8","Deprecated Streptococcus pneumoniae 14 Ab [Units/volume] in Serum --2nd specimen"
"22546-6","Deprecated Streptococcus pneumoniae 14 Ab [Ratio] in Serum --2nd specimen/1st specimen"
"22547-4","Deprecated Streptococcus pneumoniae 19 IgG Ab [Units/volume] in Serum"
"22548-2","Deprecated Streptococcus pneumoniae 23 IgG Ab [Units/volume] in Serum"
"22549-0","Deprecated Streptococcus pneumoniae 3 IgG Ab [Units/volume] in Serum"
"22550-8","Deprecated Streptococcus pneumoniae 6+26 IgG Ab [Units/volume] in Serum"
"22551-6","Deprecated Streptococcus pneumoniae 7 IgG Ab [Units/volume] in Serum"
"22552-4","Streptococcus pneumoniae Danish serotype 7F IgG Ab [Units/volume] in Serum"
"22553-2","Deprecated Streptococcus pneumoniae 51 Ab [Units/volume] in Serum --1st specimen"
"22554-0","Deprecated Streptococcus pneumoniae 51 Ab [Units/volume] in Serum --2nd specimen"
"22555-7","Streptococcus pneumoniae Danish serotype 7F Ab [Ratio] in Serum --2nd specimen/1st specimen"
"22556-5","Deprecated Streptococcus pneumoniae 8 IgG Ab [Units/volume] in Serum"
"22557-3","Deprecated Streptococcus pneumoniae 9 Ab [Presence] in Serum"
"2255-8","Estrogen [Mass/volume] in Urine"
"22558-1","Deprecated Streptococcus pneumoniae 9 IgG Ab [Units/volume] in Serum"
"22559-9","Deprecated Streptococcus pneumoniae 9n Ab [Units/volume] in Serum --1st specimen"
"22560-7","Deprecated Streptococcus pneumoniae 9 Ab [Ratio] in Serum --1st specimen/2nd specimen"
"22561-5","Deprecated Streptococcus pneumoniae 9n Ab [Units/volume] in Serum --2nd specimen"
"22562-3","Streptococcus pneumoniae IgG Ab [Units/volume] in Serum --1st specimen"
"22563-1","Streptococcus pneumoniae IgG Ab [Ratio] in Serum --1st specimen/2nd specimen"
"22564-9","Streptococcus pneumoniae IgG Ab [Units/volume] in Serum --2nd specimen"
"22565-6","Deprecated Streptococcus pneumoniae group B Ab"
"2256-6","Estrogen [Mass/time] in 24 hour Urine"
"22566-4","Streptococcus pyogenes enzyme Ab [Presence] in Serum"
"22567-2","Streptococcus pyogenes enzyme Ab [Titer] in Serum"
"22568-0","Streptolysin O Ab [Titer] in Serum"
"22569-8","Deprecated Strongyloides sp Ab [Units/volume] in Serum"
"22570-6","Deprecated Taenia solium adult Ab [Units/volume] in Serum"
"22571-4","Teichoate Ab [Titer] in Serum"
"22572-2","Saccharomonospora viridis Ab [Presence] in Serum"
"22573-0","Thermoactinomyces vulgaris Ab [Presence] in Serum"
"2257-4","Estrone (E1) [Mass/volume] in Semen"
"22574-8","Deprecated Toxocara canis IgA Ab [Units/volume] in Serum"
"22575-5","Toxocara canis IgG Ab [Units/volume] in Serum"
"22576-3","Deprecated Toxocara canis IgM Ab [Units/volume] in Serum"
"22577-1","Toxoplasma gondii Ab [Presence] in Serum"
"22578-9","Toxoplasma gondii IgA Ab [Units/volume] in Serum"
"22579-7","Toxoplasma gondii IgA+IgE Ab [Units/volume] in Serum"
"22580-5","Toxoplasma gondii IgG Ab [Presence] in Serum"
"22581-3","Toxoplasma gondii IgG Ab [Titer] in Cerebral spinal fluid"
"2258-2","Estrone (E1) [Mass/volume] in Serum or Plasma"
"22582-1","Toxoplasma gondii IgG Ab [Titer] in Serum"
"22583-9","Toxoplasma gondii IgM Ab [Titer] in Cerebral spinal fluid"
"22584-7","Toxoplasma gondii IgM Ab [Titer] in Serum"
"22585-4","Treponema pallidum Ab [Units/volume] in Blood"
"22586-2","Treponema pallidum Ab [Presence] in Cerebral spinal fluid"
"22587-0","Treponema pallidum Ab [Presence] in Serum"
"22588-8","Deprecated Treponema pallidum Ab [Presence] in Serum"
"22589-6","Deprecated Treponema pallidum Ab [Units/volume] in Serum"
"2259-0","Estrone (E1) [Mass/volume] in Urine"
"22590-4","Treponema pallidum Ab [Titer] in Serum"
"22591-2","Deprecated Treponema pallidum IgG Ab [Presence] in Serum"
"22592-0","Treponema pallidum IgG Ab [Units/volume] in Serum"
"22593-8","Deprecated Treponema pallidum IgM Ab [Presence] in Serum"
"22594-6","Treponema pallidum IgM Ab [Units/volume] in Serum"
"22595-3","Trichinella spiralis Ab [Presence] in Serum"
"22596-1","Trichinella spiralis Ab [Titer] in Serum"
"22597-9","Deprecated Trichinella spiralis IgA Ab [Presence] in Serum"
"22598-7","Deprecated Trichinella spiralis IgM Ab [Presence] in Serum"
"22599-5","Trypanosoma cruzi Ab [Titer] in Serum"
"22600-1","Varicella zoster virus Ab [Presence] in Serum"
"22601-9","Varicella zoster virus IgG Ab [Titer] in Cerebral spinal fluid"
"22602-7","Varicella zoster virus IgG Ab [Titer] in Serum"
"22603-5","Varicella zoster virus IgG Ab [Units/volume] in Serum --1st specimen"
"22604-3","Varicella zoster virus IgG Ab [Units/volume] in Serum --2nd specimen"
"22605-0","Varicella zoster virus IgM Ab [Titer] in Cerebral spinal fluid"
"22606-8","Varicella zoster virus IgM Ab [Titer] in Serum"
"22607-6","Venezuelan equine encephalitis virus Ab [Titer] in Serum"
"2260-8","Estrone (E1).unconjugated [Mass/volume] in Amniotic fluid"
"22608-4","Escherichia coli verotoxin 1 Ab [Titer] in Stool"
"22609-2","Escherichia coli verotoxin 2 Ab [Titer] in Stool"
"226-1","Doxycycline [Susceptibility] by Disk diffusion (KB)"
"22610-0","Western equine encephalitis virus Ab [Presence] in Cerebral spinal fluid"
"22611-8","Western equine encephalitis virus Ab [Presence] in Serum"
"22612-6","Deprecated Western equine encephalitis virus Ab [Titer] in Serum"
"22613-4","Western equine encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid"
"22614-2","Western equine encephalitis virus IgG Ab [Titer] in Serum"
"22615-9","Western equine encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid"
"2261-6","Estrone (E1).unconjugated [Mass/volume] in Serum or Plasma"
"22616-7","Western equine encephalitis virus IgM Ab [Titer] in Serum"
"22617-5","Wuchereria bancrofti Ab [Presence] in Serum"
"22618-3","Yellow fever virus Ab [Titer] in Serum"
"22619-1","Yersinia enterocolitica IgA Ab [Units/volume] in Serum"
"22620-9","Yersinia enterocolitica IgG Ab [Units/volume] in Serum"
"22621-7","Yersinia enterocolitica IgM Ab [Units/volume] in Serum"
"22622-5","Deprecated Xylose [Mass/volume] in Blood --1 hour post 25 g xylose PO"
"22623-3","Deprecated Xylose [Molecules/volume] in Blood --2 hours post 25 g xylose PO"
"2262-4","Estrone (E1).unconjugated [Mass/time] in 24 hour Urine"
"22624-1","Xylose [Moles/volume] in Blood --2 hours post 5 g xylose PO"
"22625-8","Xylose [Moles/volume] in Blood --2 hours post dose xylose PO"
"22626-6","Xylose [Mass/time] in 5 hour Urine --post 25 g xylose PO"
"22627-4","Xylose [Mass/time] in 5 hour Urine --post 5 g xylose PO"
"22628-2","Xylose [Moles/time] in 5 hour Urine --post 25 g xylose PO"
"22629-0","Xylose [Moles/time] in 5 hour Urine --post 5 g xylose PO"
"22630-8","Xylose/Xylose dose in 5 hour Urine --post 25 g xylose PO"
"22631-6","Xylose/Xylose dose in 5 hour Urine --post 5 g xylose PO"
"2263-2","Ethanolamine [Mass/volume] in Serum or Plasma"
"22632-4","Xylose/Xylose dose in 5 hour Urine --post dose xylose PO"
"22633-2","Pathology report site of origin Narrative"
"22634-0","Pathology report gross observation Narrative"
"22635-7","Pathology report microscopic observation Narrative Other stain"
"22636-5","Pathology report relevant history Narrative"
"22637-3","Pathology report final diagnosis Narrative"
"22638-1","Pathology report comments [Interpretation] Narrative"
"22639-9","Pathology report supplemental reports Narrative"
"2264-0","Ethanolamine [Mass/volume] in Urine"
"22640-7","Pathology report staging evidence Narrative"
"22641-5","Glutamine [Moles/volume] in Cerebral spinal fluid"
"22642-3","Tyrosine [Moles/volume] in Cerebral spinal fluid"
"22643-1","Threonine [Moles/volume] in Cerebral spinal fluid"
"22644-9","Serine [Moles/volume] in Cerebral spinal fluid"
"22645-6","Proline [Moles/volume] in Cerebral spinal fluid"
"22646-4","Phenylalanine [Moles/volume] in Cerebral spinal fluid"
"22647-2","Ornithine [Moles/volume] in Cerebral spinal fluid"
"22648-0","Methionine [Moles/volume] in Cerebral spinal fluid"
"22649-8","Valine [Moles/volume] in Cerebral spinal fluid"
"22650-6","Glycine [Moles/volume] in Cerebral spinal fluid"
"22651-4","Lysine [Moles/volume] in Cerebral spinal fluid"
"22652-2","Glutamate [Moles/volume] in Cerebral spinal fluid"
"22653-0","Cystine [Moles/volume] in Cerebral spinal fluid"
"22654-8","Citrulline [Moles/volume] in Cerebral spinal fluid"
"22655-5","Aspartate [Moles/volume] in Cerebral spinal fluid"
"22656-3","Arginine [Moles/volume] in Cerebral spinal fluid"
"2265-7","Ethylmalonate [Mass/volume] in Urine"
"22657-1","Alanine [Moles/volume] in Cerebral spinal fluid"
"22658-9","Alloisoleucine [Moles/volume] in Cerebral spinal fluid"
"22659-7","Isoleucine [Moles/volume] in Cerebral spinal fluid"
"22660-5","Homocystine [Moles/volume] in Cerebral spinal fluid"
"22661-3","Coproporphyrin [Moles/volume] in Serum or Plasma"
"22662-1","Uroporphyrin [Moles/volume] in Serum or Plasma"
"22663-9","Estrone (E1) [Moles/volume] in Serum or Plasma"
"22664-7","Urea [Moles/volume] in Serum or Plasma"
"2266-5","Etiocholanolone [Presence] in Urine"
"22665-4","Bilirubin.delta [Moles/volume] in Serum or Plasma"
"22666-2","Busulfan [Moles/volume] in Serum or Plasma"
"22667-0","Deprecated Fatty acids.nonesterified [Molecules/volume] in Serum or Plasma"
"22668-8","Propylene glycol [Moles/volume] in Serum or Plasma"
"22669-6","Deprecated Glutamate [Molecules/volume] in Serum or Plasma"
"22670-4","Alloisoleucine [Moles/volume] in Serum or Plasma"
"22671-2","Phytanate (C16:0(CH3)4) [Moles/volume] in Serum or Plasma"
"22672-0","Cystine [Moles/volume] in Serum or Plasma"
"2267-3","Etiocholanolone [Mass/volume] in Urine"
"22673-8","Deprecated Homocystine [Molecules/volume] in Serum or Plasma"
"22674-6","Transferrin [Moles/volume] in Serum or Plasma"
"22675-3","Deprecated Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma"
"22676-1","7-Dehydrocholesterol [Presence] in Serum or Plasma"
"22677-9","Deprecated Aspartate [Molecules/volume] in Serum or Plasma"
"22678-7","Ethylene glycol [Moles/volume] in Urine"
"22679-5","Lysine/Creatinine [Molar ratio] in Urine"
"22680-3","Mercury/Creatinine [Molar ratio] in Urine"
"2268-1","Etiocholanolone [Mass/time] in 24 hour Urine"
"22681-1","Methionine/Creatinine [Molar ratio] in Urine"
"22682-9","Ornithine/Creatinine [Molar ratio] in Urine"
"22683-7","Deprecated Phenylalanine/Creatinine [Molecular ratio] in Urine"
"22684-5","Serine/Creatinine [Molar ratio] in Urine"
"22685-2","Tyrosine/Creatinine [Molar ratio] in Urine"
"22686-0","Protoporphyrin [Moles/time] in 24 hour Urine"
"22687-8","Cystine/Creatinine [Molar ratio] in Urine"
"22688-6","Threonine/Creatinine [Molar ratio] in Urine"
"22689-4","Zinc [Moles/time] in 24 hour Urine"
"22690-2","Proline/Creatinine [Molar ratio] in Urine"
"22691-0","Aspartate/Creatinine [Molar ratio] in Urine"
"22692-8","Valine/Creatinine [Molar ratio] in Urine"
"22693-6","Leucine/Creatinine [Molar ratio] in Urine"
"22694-4","Citrulline/Creatinine [Molar ratio] in Urine"
"22695-1","Carnitine/Creatinine [Molar ratio] in Urine"
"22696-9","Cadmium/Creatinine [Molar ratio] in Urine"
"22697-7","Arginine/Creatinine [Molar ratio] in Urine"
"22698-5","Alanine/Creatinine [Molar ratio] in Urine"
"2269-9","Complement factor B [Mass/volume] in Serum or Plasma"
"22699-3","Alloisoleucine/Creatinine [Molar ratio] in Urine"
"22700-9","Urea [Moles/volume] in Urine"
"22701-7","Salicylates [Moles/volume] in Urine"
"22702-5","Ketones [Moles/volume] in Urine by Test strip"
"22703-3","Histidine/Creatinine [Molar ratio] in Urine"
"22704-1","Carnitine free (C0)/Creatinine [Molar ratio] in Urine"
"22705-8","Glucose [Moles/volume] in Urine by Test strip"
"22706-6","Isoleucine/Creatinine [Molar ratio] in Urine"
"2270-7","Fat [Presence] in Stool"
"22707-4","Homocystine/Creatinine [Molar ratio] in Urine"
"22708-2","Homovanillate/Creatinine [Molar ratio] in Urine"
"22709-0","Glycine/Creatinine [Molar ratio] in Urine"
"22710-8","Glutamine/Creatinine [Molar ratio] in Urine"
"22711-6","Glutamate/Creatinine [Molar ratio] in Urine"
"22712-4","Adenosine monophosphate.cyclic [Moles/volume] in Urine"
"22713-2","Lysine [Moles/volume] in Specimen"
"22714-0","Isoleucine [Moles/volume] in Specimen"
"2271-5","Fat [Mass/time] in 72 hour Stool"
"22715-7","Homocystine [Moles/volume] in Specimen"
"22716-5","Methionine [Moles/volume] in Specimen"
"22717-3","Histidine [Moles/volume] in Specimen"
"22718-1","Glycine [Moles/volume] in Specimen"
"22719-9","Leucine [Moles/volume] in Specimen"
"22720-7","Glutamine [Moles/volume] in Specimen"
"22721-5","Glutamate [Moles/volume] in Specimen"
"22722-3","Citrulline [Moles/volume] in Specimen"
"2272-3","Fat [Presence] in Urine"
"22723-1","Aspartate [Moles/volume] in Specimen"
"22724-9","Alanine [Moles/volume] in Specimen"
"22725-6","Ornithine [Moles/volume] in Specimen"
"22726-4","Creatinine [Moles/volume] in Specimen"
"22727-2","Arginine [Moles/volume] in Specimen"
"22728-0","Cystine [Moles/volume] in Specimen"
"22729-8","Valine [Moles/volume] in Specimen"
"22730-6","Alloisoleucine [Moles/volume] in Specimen"
"2273-1","Fatty acids.esterified [Mass/volume] in Blood"
"22731-4","Triglyceride [Moles/volume] in Specimen"
"22732-2","Salicylates [Moles/volume] in Specimen"
"22733-0","Phosphate [Moles/volume] in Specimen"
"22734-8","Ethylene glycol [Moles/volume] in Specimen"
"22735-5","Bicarbonate [Moles/volume] in Specimen"
"22736-3","Acetaminophen [Moles/volume] in Specimen"
"22737-1","Phenylalanine [Moles/volume] in Specimen"
"22738-9","Urea [Moles/volume] in Specimen"
"22739-7","Tyrosine [Moles/volume] in Specimen"
"22740-5","Threonine [Moles/volume] in Specimen"
"22741-3","Serine [Moles/volume] in Specimen"
"22742-1","Propylene glycol [Moles/volume] in Specimen"
"22743-9","Proline [Moles/volume] in Specimen"
"22744-7","Copper [Moles/volume] in Specimen"
"22745-4","Ethanol [Moles/volume] in Urine"
"22746-2","Gentamicin [Moles/volume] in Serum or Plasma --peak"
"22747-0","Gentamicin [Moles/volume] in Serum or Plasma --trough"
"22748-8","Cholesterol in LDL [Moles/volume] in Serum or Plasma"
"2274-9","Deprecated Fatty acids.nonesterified [Mass/volume] in Plasma"
"22749-6","Amylase.pancreatic [Enzymatic activity/volume] in Urine"
"22750-4","Tobramycin [Moles/volume] in Serum or Plasma --random"
"22751-2","Tobramycin [Moles/volume] in Serum or Plasma --peak"
"22752-0","Tobramycin [Moles/volume] in Serum or Plasma --trough"
"22753-8","Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma"
"22754-6","Deprecated Dibucaine number in Serum or Plasma"
"22755-3","Haemophilus influenzae B Ab [Mass/volume] in Serum"
"2275-6","Fatty acids [Mass/volume] in Serum or Plasma"
"22756-1","HLA-DR [Units/volume] in Cerebral spinal fluid"
"22757-9","Deprecated Metanephrine [Mass/time] in 24 hour Urine"
"22758-7","Plasminogen activator inhibitor 1 Ag [Mass/volume] in Platelet poor plasma by Immunoassay"
"22759-5","Platelet Ab [Titer] in Serum"
"22760-3","Potassium [Mass/volume] in Serum or Plasma"
"22761-1","Pristanate (C15:0(CH3)4) [Moles/volume] in Serum or Plasma"
"22762-9","Deprecated Streptococcus pneumoniae 12 IgG Ab [Units/volume] in Serum"
"22763-7","Ammonia [Mass/volume] in Plasma"
"2276-4","Ferritin [Mass/volume] in Serum or Plasma"
"22764-5","Actinobacillus pleuropneumoniae Ab [Presence] in Serum by Complement fixation"
"22765-2","Adult fly identified in Specimen"
"22766-0","African horse sickness virus Ab [Presence] in Serum by Immunoassay"
"22767-8","African horse sickness virus Ab [Presence] in Serum by Immunoblot"
"22768-6","African horse sickness virus Ab [Presence] in Serum by Complement fixation"
"22769-4","African horse sickness virus neutralizing antibody [Titer] in Serum by Neutralization test"
"22770-2","African horse sickness virus Ab [Titer] in Serum"
"22771-0","African horse sickness virus Ab [Presence] in Serum"
"2277-2","Ferrochelatase [Enzymatic activity/volume] in Serum"
"22772-8","African horse sickness virus Ag [Presence] in Tissue by Immunoassay"
"22773-6","African horse sickness virus Ag [Presence] in Specimen by Immunoassay"
"22774-4","African horse sickness virus RNA [Presence] in Tissue by NAA with probe detection"
"22775-1","African horse sickness virus serotype [Identifier] in Serum by Neutralization test"
"22776-9","African horse sickness virus serotype [Identifier] in Specimen by Neutralization test"
"22777-7","African swine fever virus Ab [Presence] in Body fluid by Immunoassay"
"22778-5","African swine fever virus Ab [Presence] in Body fluid"
"22779-3","African swine fever virus Ab [Presence] in Serum"
"2278-0","Fibrinopeptide B [Mass/volume] in Serum"
"22780-1","African swine fever virus Ab [Presence] in Serum by Immunoassay"
"22781-9","African swine fever virus Ag [Presence] in Specimen by Agglutination"
"22782-7","African swine fever virus Ag [Presence] in Tissue by Agglutination"
"22783-5","African swine fever virus Ag [Presence] in Tissue by Immunofluorescence"
"22784-3","African swine fever virus Ag [Presence] in Specimen by Immunofluorescence"
"22785-0","African swine fever virus DNA [Presence] in Tissue by NAA with probe detection"
"22786-8","Alcelaphine herpesvirus 1 Ab [Titer] in Serum"
"22787-6","Alcelaphine herpesvirus 1 Ab [Presence] in Serum by Immunofluorescence"
"22788-4","Alcelaphine herpesvirus 1 neutralizing antibody [Titer] in Serum by Neutralization test"
"22789-2","Alcelaphine herpesvirus 1 Ag [Presence] in Specimen by Immunofluorescence"
"227-9","Doxycycline [Susceptibility] by Serum bactericidal titer"
"22790-0","Alcelaphine herpesvirus 1 Ag [Presence] in Specimen by Immune stain"
"22791-8","Alcelaphine herpesvirus 1 DNA [Presence] in Tissue by NAA with probe detection"
"22792-6","Aleutian disease virus Ab [Presence] in Serum by Counterimmunoelectrophoresis (CIE)"
"22793-4","Aleutian disease virus Ab [Presence] in Serum"
"22794-2","Anaplasma marginale Ab [Presence] in Serum by Immunofluorescence"
"22795-9","Anaplasma marginale Ab [Presence] in Serum by Immunoassay"
"22796-7","Anaplasma marginale Ag [Presence] in Tissue by Immunofluorescence"
"22797-5","Anaplasma marginale DNA [Presence] in Tissue by NAA with probe detection"
"2279-8","Fibrinopeptide A [Mass/volume] in Peritoneal fluid"
"22798-3","Anaplasma marginale rRNA [Presence] in Tissue by Probe"
"22799-1","Anaplasma sp identified in Tissue by Modified Giemsa stain"
"22800-7","Anaplasma sp identified in Blood by Modified Giemsa stain"
"22801-5","Infectious bronchitis virus Ab [Titer] in Serum"
"22802-3","Infectious bronchitis virus Ab [Titer] in Serum by Hemagglutination inhibition"
"22803-1","Infectious bronchitis virus Ab [Titer] in Serum by Immunoassay"
"22804-9","Infectious bronchitis virus neutralizing antibody [Titer] in Serum by Neutralization test"
"22805-6","Infectious bronchitis virus Ag [Presence] in Specimen by Neutralization test"
"2280-6","Fibronectin [Mass/volume] in Plasma"
"22806-4","Infectious bronchitis virus Ag [Presence] in Tissue by Immune stain"
"22807-2","Infectious bronchitis virus Ag [Presence] in Specimen by Immunofluorescence"
"22808-0","Infectious bronchitis virus [Presence] in Specimen by Electron microscopy"
"22809-8","Infectious bronchitis virus RNA [Presence] in Specimen by Probe"
"22810-6","Infectious bronchitis virus RNA [Presence] in Specimen by NAA with probe detection"
"22811-4","Avian infectious laryngotracheitis virus [Presence] in Specimen by Electron microscopy"
"22812-2","Deprecated Avian infectious laryngotracheitis virus [Presence] in Unspecified specimen by Electron microscopy"
"22813-0","Avian infectious laryngotracheitis virus Ab [Titer] in Serum by Immunofluorescence"
"2281-4","Flavin adenine dinucleotide [Mass/volume] in Serum"
"22814-8","Avian infectious laryngotracheitis virus neutralizing antibody [Titer] in Serum by Neutralization test"
"22815-5","Avian infectious laryngotracheitis virus Ab [Titer] in Serum"
"22816-3","Avian infectious laryngotracheitis virus Ag [Presence] in Specimen by Neutralization test"
"22817-1","Avian infectious laryngotracheitis virus Ag [Presence] in Trachea by Immune diffusion (ID)"
"22818-9","Avian infectious laryngotracheitis virus Ag [Presence] in Trachea by Immunoassay"
"22819-7","Avian infectious laryngotracheitis virus Ag [Presence] in Specimen by Immune diffusion (ID)"
"22820-5","Avian orthoreovirus Ag [Presence] in Specimen"
"22821-3","Deprecated Influenza virus A Ab [Titer] in Serum"
"2282-2","Folate [Mass/volume] in Blood"
"22822-1","Influenza virus A Ab [Presence] in Serum by Immunoassay"
"22823-9","Influenza virus A Ab [Titer] in Serum by Agglutination"
"22824-7","Influenza virus A Ab [Titer] in Serum by Hemagglutination inhibition"
"22825-4","Influenza virus A Ag [Presence] in Specimen by Immune diffusion (ID)"
"22826-2","Influenza virus A identified in Specimen by Bioassay"
"22827-0","Influenza virus A subtype [Identifier] in Specimen by NAA with probe detection"
"22828-8","Influenza virus A subtype [Identifier] in Specimen by Immune diffusion (ID)"
"22829-6","Avian paramyxovirus 1 Ab [Presence] in Serum by Hemagglutination inhibition"
"2283-0","Folate [Mass/volume] in Red Blood Cells"
"22830-4","Avian paramyxovirus 1 Ab [Titer] in Serum by Agglutination"
"22831-2","Avian paramyxovirus 1 Ag [Presence] in Specimen by Hemagglutination inhibition"
"22832-0","Avian paramyxovirus 1 identified in Specimen by Bioassay"
"22833-8","Avian paramyxovirus 1 [Units/volume] in Specimen by Bioassay"
"22834-6","Avian metapneumovirus Ab [Presence] in Serum"
"22835-3","Deprecated Avian pneumovirus Ab [Presence] in Serum"
"22836-1","Avian pox virus [Presence] in Tissue by Electron microscopy"
"22837-9","Avian pox virus Ab [Presence] in Serum by Agglutination"
"22838-7","Avian pox virus Ab [Presence] in Serum by Immunofluorescence"
"22839-5","Avian pox virus neutralizing antibody [Presence] in Serum by Neutralization test"
"22840-3","Avian pox virus Ab [Presence] in Serum by Immune stain"
"22841-1","Avian pox virus Ab [Presence] in Serum by Immunoassay"
"22842-9","Avian pox virus DNA [Presence] in Tissue by NAA with probe detection"
"22843-7","Avian pox virus DNA [Presence] in Tissue by Probe"
"22844-5","Babesia bigemina Ab [Presence] in Serum"
"22845-2","Babesia bigemina Ab [Presence] in Serum by Immunofluorescence"
"22846-0","Babesia bigemina Ab [Presence] in Serum by Immunoassay"
"22847-8","Babesia bovis Ab [Presence] in Serum"
"2284-8","Folate [Mass/volume] in Serum or Plasma"
"22848-6","Babesia bovis Ab [Presence] in Serum by Immunoassay"
"22849-4","Babesia bovis Ab [Presence] in Serum by Immunofluorescence"
"22850-2","Babesia caballi Ab [Presence] in Serum by Immunoassay"
"22851-0","Babesia caballi Ab [Presence] in Serum by Immunofluorescence"
"22852-8","Deprecated Babesia caballi Ab [Presence] in Serum"
"22853-6","Babesia caballi rRNA [Presence] in Blood by Probe"
"22854-4","Babesia divergens Ab [Presence] in Serum by Immunofluorescence"
"2285-5","Follitropin [Moles/volume] in Semen"
"22855-1","Babesia divergens Ab [Presence] in Serum"
"22856-9","Babesia sp rRNA [Presence] in Tissue by Probe"
"22857-7","Babesia sp DNA [Presence] in Tissue by NAA with probe detection"
"22858-5","Babesia sp identified in Tissue by Giemsa stain"
"22859-3","Bacillus anthracis Ab [Titer] in Serum"
"22860-1","Bacillus anthracis Ab [Presence] in Serum"
"22861-9","Bacillus anthracis Ab [Presence] in Serum by Immune diffusion (ID)"
"22862-7","Bacillus anthracis Ab [Presence] in Serum by Agglutination"
"2286-3","Follitropin [Moles/volume] in Serum or Plasma"
"22863-5","Bacillus anthracis Ab [Presence] in Serum by Immunoassay"
"22864-3","Bacillus anthracis Ab [Presence] in Serum by Complement fixation"
"22865-0","Bacillus anthracis Ab [Titer] in Serum by Immune diffusion (ID)"
"22866-8","Bacillus anthracis Ag [Presence] in Tissue by Immunofluorescence"
"22867-6","Bacillus anthracis Ag [Presence] in Specimen by Immunofluorescence"
"22868-4","Bluetongue virus neutralizing antibody [Presence] in Serum by Neutralization test"
"22869-2","Bluetongue virus Ag [Presence] in Specimen by Immunofluorescence"
"228-7","Enoxacin [Susceptibility] by Minimum lethal concentration (MLC)"
"22870-0","Bluetongue virus Ag [Presence] in Specimen by Immunoassay"
"2287-1","Follitropin [Mass/time] in 24 hour Urine"
"22871-8","Bluetongue virus Ag [Presence] in Specimen by Neutralization test"
"22872-6","Bluetongue virus Ag [Presence] in Blood"
"22873-4","Bluetongue virus Ag [Presence] in Specimen by Immune stain"
"22874-2","Bluetongue virus serotype [Identifier] in Specimen by NAA with probe detection"
"22875-9","Border disease virus Ab [Units/volume] in Serum by Immunoassay"
"22876-7","Border disease virus Ab [Units/volume] in Serum"
"22877-5","Border disease virus Ab [Titer] in Serum"
"22878-3","Border disease virus neutralizing antibody [Titer] in Serum by Neutralization test"
"22879-1","Border disease virus Ag [Presence] in Specimen by Immunofluorescence"
"22880-9","Border disease virus Ag [Presence] in Specimen by Immune stain"
"22881-7","Border disease virus Ag [Presence] in Tissue by Immunoassay"
"22882-5","Border disease virus Ag [Presence] in Blood by Immunoassay"
"22883-3","Border disease virus RNA [Presence] in Tissue from Fetus by NAA with probe detection"
"22884-1","Border disease virus RNA [Presence] in Tissue by NAA with probe detection"
"22885-8","Border disease virus RNA [Presence] in Blood by NAA with probe detection"
"22886-6","Bordetella bronchiseptica Ab [Presence] in Serum"
"22887-4","Bordetella bronchiseptica Ab [Presence] in Serum by Agglutination"
"22888-2","Bordetella bronchiseptica Ag [Presence] in Specimen by Agglutination"
"2288-9","Follitropin.alpha subunit [Moles/volume] in Serum or Plasma"
"22889-0","Bovine diarrhea virus Ab [Presence] in Milk"
"22890-8","Bovine diarrhea virus Ab [Presence] in Milk by Immunoassay"
"22891-6","Bovine diarrhea virus Ab [Titer] in Serum"
"22892-4","Bovine diarrhea virus neutralizing antibody [Titer] in Serum by Neutralization test"
"22893-2","Bovine diarrhea virus neutralizing antibody [Presence] in Serum by Neutralization test"
"22894-0","Bovine diarrhea virus Ab [Presence] in Serum by Immunoassay"
"22895-7","Bovine diarrhea virus Ab [Presence] in Serum"
"22896-5","Bovine diarrhea virus Ag [Presence] in Blood by Immunoassay"
"2289-7","Follitropin.beta subunit [Moles/volume] in Serum or Plasma"
"22897-3","Bovine diarrhea virus Ag [Presence] in Specimen by Immune stain"
"22898-1","Bovine diarrhea virus Ag [Presence] in Specimen by Immunofluorescence"
"22899-9","Bovine diarrhea virus RNA [Presence] in Tissue by Probe"
"22900-5","Bovine diarrhea virus RNA [Presence] in Specimen by NAA with probe detection"
"22901-3","Bovine herpesvirus 1 Ab [Presence] in Serum by Immunofluorescence"
"22902-1","Bovine herpesvirus 1 Ab [Presence] in Serum by Immune diffusion (ID)"
"22903-9","Bovine herpesvirus 1 Ab [Presence] in Milk by Immunoassay"
"22904-7","Bovine herpesvirus 1 neutralizing antibody [Presence] in Serum by Neutralization test"
"2290-5","Follitropin/Lutropin [Molar ratio] in Serum or Plasma"
"22905-4","Bovine herpesvirus 1 Ab [Presence] in Milk"
"22906-2","Bovine herpesvirus 1 Ag [Presence] in Specimen by Immunoassay"
"22907-0","Bovine herpesvirus 1 Ag [Presence] in Nose by Immunofluorescence"
"22908-8","Bovine herpesvirus 1 Ag [Units/volume] in Specimen by Neutralization test"
"22909-6","Bovine herpesvirus 1 Ag [Presence] in Specimen by Immune stain"
"22910-4","Bovine herpesvirus 1 Ag [Presence] in Specimen by Immunofluorescence"
